comment_id,comment_text,foods
46281487.0,بسته بندی غذا فله میتونه بهتر باشه اما ارسال سفارش بسیار سریع بود,"[{'title': 'غذای خشک گربه مینکاس یورینری هپی کت فله 1 کیلوگرم'}, {'title': 'خاک گربه میو کت کربن'}, {'title': 'لیزر'}, {'title': 'پوچ رویال کنین رنال ۸۵ گرم'}, {'title': 'مالت هوبی گربه بالغ'}]"
43646425.0,"قیمت خیلی بالا بود 
ولی ناچار بودم خریدم  یه کم نسبت بهم مهربانتر  باشیم","[{'title': 'غذای خشک گربه بالغ مخلوط مدل مینکاس هپی کت فله 1 کیلوگرم'}, {'title': 'خاک گربه مستر کت گرانول ساده'}]"
41851125.0,به جای سه تا خاک دوتا فرستادن,"[{'title': 'خاک گربه کیوت کت ساده'}, {'title': 'خاک گربه کیوت کت کربن'}]"
39408324.0,عالی بود,[{'title': 'غذای خشک گربه کیتن رفلکس پلاس (فله)'}]
39389600.0,من کنسرو گورمت مرغ سفارش دادم ولی mouse برام ۴ تا  فرستادینو گربه ام نمیخوره باید بدم همه اش روزبه های خیابون، اگه‌موجودی ندارید یا بردارید محصول رو یا زنگ بزنید اعلام کنید,"[{'title': 'غذای خشک گربه فیت رویال کنین فله  1 کیلوگرم'}, {'title': 'مدادی کوشیدا با طعم بره و بوقلمون'}, {'title': 'کنسرو گربه پته گورمت گلد با طعم مرغ 85 گرم'}]"
36770814.0,من دوبار خرید کردم و واقعا راضیم از برخورد خوب و قیمت مناسبشون,"[{'title': 'تشویقی بستنی گربه وینستون با طعم ماهی 15 گرم'}, {'title': 'تشویقی بستنی گربه وینستون با طعم مرغ 15 گرم'}]"
43657473.0,عالی,"[{'title': 'خاک گربه مستر کت اکسیژنه (فاقد گرد و غبار)'}, {'title': 'ووم گربه وینیستون با طعم بره و مرغ و آلوئه\u200cورا 100 گرم'}, {'title': 'ووم گربه وینستون با طعم مرغ و سس هویج 100 گرم'}]"
43630880.0,عالی,"[{'title': 'غذای خشک گربه مینکاس یورینری هپی کت فله 1 کیلوگرم'}, {'title': 'خاک گربه مستر کت گرانول ساده'}]"
39418689.0,"تشویقی های مکدلف بوقلمون و مرغ عالی بودن
مرسی بابت لطف و توجه تون به مشتری های پشمالو ی قشنگ و مهربون","[{'title': 'تشویقی سگ مکدولف بوقلمون خشک شده توسط انجماد سریع'}, {'title': 'تشویقی سگ مکدولف فیله مرغ خشک شده توسط انجماد سریع'}]"
38629957.0,"عالی و پرفکت 
ممنونم","[{'title': 'تشویقی سگ مکدولف بوقلمون خشک شده توسط انجماد سریع'}, {'title': 'مدادی کوشیدا با طعم بره و بوقلمون'}]"
