comment_id,comment_text,foods
49061656.0,خیلی خوب بود,[{'title': 'پيتزا پپرونی 26 سانتی متری'}]
52434282.0,همیشه زود و داغ میرسه به دستمون . خوشمزه و باکیفیت . مرسی از باریزو,"[{'title': 'پاستا چیکن آلفردو'}, {'title': 'سیب زمینی با پنیر دیپ گودا'}]"
46154314.0,فااااااجعه بود. گوشت پیتزا مانده و بو میداد.. خیلی خیلی بد بود‌. از پشتیبانی اسنپ میخوام حتما پیگیری کنه,[{'title': 'پيتزا سير و استيک 26 سانتی متری'}]
46444664.0,بسیار بسیار نان سیر چرب وحشتناک روغن میچکید بندری خوب بود,"[{'title': 'ساندویچ بندری'}, {'title': 'نان سیر'}]"
49873882.0,بهترین رستوران,"[{'title': 'پيتزا پپرونی 26 سانتی متری'}, {'title': 'سیب زمینی با سس آلفردو'}]"
47042343.0,سيب زميني ژامبون نداشت.,"[{'title': 'پيتزا استيک آلفردو 26 سانتی متری'}, {'title': 'سیب زمینی تنوری'}, {'title': 'سس چیلی تای'}]"
46090191.0,پیتزا وجینارا نخرید,[{'title': 'پيتزا وجينارا 26 سانتی متری'}]
47697893.0,حجم پاستا مناسب بود، مرغ و قارچ به خوبی طعم دار شده بود، سس پاستا هم کافی بود. ممنون از مدیریت محترم منطقه باریزو که نقش به سزایی در بالا نگهداشتن کیفیت محصولات دارن.,[{'title': 'پاستا چیکن آلفردو'}]
49764137.0,نان سير به قدرى چرب بود که اصلا نتونستم بخورم,"[{'title': 'نان سیر'}, {'title': 'سوپ قارچ (تک نفره)'}]"
49813182.0,مثه همیشه پور پیمون نبود ولی خوشمزه بود,[{'title': 'پاستا چیکن آلفردو'}]
49891066.0,خوش طعم بود,[{'title': 'پاستا چیکن آلفردو'}]
47821604.0,لطفا با خیارشور دبه ای طعم همبرگرتونو خراب نکنید,[{'title': 'چیز برگر'}]
46668837.0,"معلوم بود مقدار مواد خوبی استفاده شده ولی انکار از یخچال دراومده گرم شده بود
حس پخته شدن نمی داد و گوشتش هنوز اب داشت
برخلاف پاستاهای خوب سری قبل پیتزاش واقعا خوب نبود","[{'title': 'پيتزا رست بيف 26 سانتی متری'}, {'title': 'نوشابه قوطی اسپرایت'}]"
48104746.0,افتضاح بی کیفیت ترین غذایی که تو عمرم خوردم,"[{'title': 'پيتزا مخلوط 26 سانتی متری'}, {'title': 'سیب زمینی تنوری با سس آلفردو'}, {'title': 'سس آلفردو (اضافه)'}, {'title': 'نوشابه شیشه ای فانتا پرتقالی'}]"
47191878.0,پاستا خیلیخوب بود حجمشم زیاد بود ولی برگر خیلی جم و جور بود البته خوشمزه بود اگه پنیر زیاد دوست دارید بگید پنیر اضافه براتون بزنن,"[{'title': 'چیز برگر'}, {'title': 'پاستا چیکن آلفردو'}]"
48141451.0,"والا انگار ادویه نداشت
یکم بوی مرغش معلوم بود
واقعیت خوشم نیومد","[{'title': 'پاستا چیکن آلفردو'}, {'title': 'آب معدنی کوچک'}]"
48538554.0,توی منطقه یکی از لذیذترین پیتزاها رو به نظرم داره.,[{'title': 'پيتزا استيک آلفردو 26 سانتی متری'}]
47941617.0,چون مشتری ثابت هستم دلم نیومد امتیاز پایین بدم ولی پیک کاملا یه غذای داغون و چپ شده آورده بود و میدونم که تقصیر فروشگاه نیست,"[{'title': 'پاستا چیکن آلفردو'}, {'title': 'سیب زمینی تنوری با پنیر دیپ گودا'}, {'title': 'نوشابه شیشه ای فانتا پرتقالی'}, {'title': 'آب معدنی کوچک'}]"
49843351.0,"عالی بود، گرم و سریع رسید
ممنونم",[{'title': 'پيتزا رست بيف 26 سانتی متری'}]
49725737.0,برای هدیه بسیار سپاسگزاریم,"[{'title': 'پاستا چیکن آلفردو'}, {'title': 'نان سیر'}, {'title': 'پنیر ميكس(اضافه)'}]"
48624915.0,اولین بار بودم این غذارو تست میکنم خوب بود اما انتظار طعم بیشتر و قوی تری داشتم. نسبت به قیمت حجم خوبی داشت,[{'title': 'پاستا چیکن آلفردو'}]
49722337.0,نون سیر اینقدر چرب بود که روغن ازش می‌چکید و پاستا شبیه به هر چیزی بود جز پاستا... مواد پاستا مزه کهنگی میداد. از باریزو واقعا انتظار همچین کیفیت پایینی رو نداشتم و دیگه سفارش نمیدم,"[{'title': 'پاستا چیکن آلفردو'}, {'title': 'نان سیر'}]"
46144056.0,خیلیم طول کشید,"[{'title': 'پيتزا استيک و بيكن 26 سانتی متری'}, {'title': 'پيتزا استيک آلفردو 26 سانتی متری'}, {'title': 'دوغ شیشه ای آبعلی'}]"
46025902.0,به توضیحات نوشته شده توجهی نشده بود,[{'title': 'پاستا چیکن آلفردو'}]
48973087.0,من بهترین و بدترین سیب‌زمینی که خوردم باریزو بود. اول وقت سفارش ندید چون غذاهای مونده با کیفیت پایین رو براتون میفرستن. ولی اگر از ظهر بگذره و سفارش بدید واقعا خوشمزه ترین ورژن غذا رو دارید.,"[{'title': 'سیب زمینی با پنیر دیپ گودا'}, {'title': 'سالاد سزار'}, {'title': 'سینه مرغ 130 گرمي (اضافه)'}]"
49821764.0,سفارش زودتر از موعد مقرر رسید و خوش طعم بود,[{'title': 'فیله استریپس سوخاری'}]
47002580.0,سیب زمینی سرخ شده و تنوری کاملا نرم شده بود .داخل جعبه. میزان ژامبون یه شدت پایین در حد یک قاشق غذاخوری.,"[{'title': 'ساندویچ رست بیف'}, {'title': 'سالاد سزار'}, {'title': 'سس سزار (اضافه)'}, {'title': 'سیب زمینی تنوری'}, {'title': 'سس چیلی تای'}]"
47931880.0,سرد بودن غذا,[{'title': 'ساندویچ رست بیف'}]
49573670.0,"تاکیید شده بود رو ارسال مستقیم و سریع ولی...
حجم و قیمت البته همخونی نداره نسبت به همکار ها تو همون منطقه","[{'title': 'پيتزا چيكن چيز 26 سانتی متری'}, {'title': 'دوغ شیشه ای آبعلی'}]"
49197416.0,به موقع و گرم به دستمون رسید و بسیاااار خوشمزه بودن. سوپ هم بسیار بسیار  لذیذ بود ممنون واقعا. پر روزی باشید. فقط کوپن سیب زمینی با خرید ۴۶۰ هزار هم فعال نشده بود و بعد با اضافه کردن یک آیتم دیگر اعمال شد.,"[{'title': 'پيتزا پپرونی 26 سانتی متری'}, {'title': 'پيتزا سير و استيک 26 سانتی متری'}, {'title': 'سوپ قارچ (تک نفره)'}]"
48866231.0,پشتیبانیشون قویه دمشون گرم,"[{'title': 'پيتزا استيک و بيكن 26 سانتی متری'}, {'title': 'استرامبولی دونر استیک گوشت'}]"
47265102.0,پاستا خیلی بی نمک بود و طعم خاصی هم نداشت، همچنین چنگال هم در بسته بندی نبود:(((((,"[{'title': 'نان سیر'}, {'title': 'پاستا چیکن آلفردو'}]"
46268822.0,پیتزا بوی گوشت بدی داشت,"[{'title': 'پيتزا رست بيف 26 سانتی متری'}, {'title': 'پاستا چیکن آلفردو'}]"
45878981.0,"خوب بود 
دفعات قبلی خیلی خوشمزه تر و با کیفیت تر بودن.","[{'title': 'پاستا چیکن آلفردو'}, {'title': 'سیب زمینی با پنیر دیپ گودا'}]"
48004565.0,علاوه بر پیتزاها که عالی بود یه خرس بامزه برا ولنتاین برامون گذاشته بودن,"[{'title': 'پيتزا استيک آلفردو 26 سانتی متری'}, {'title': 'پيتزا مخلوط 26 سانتی متری'}]"
49463042.0,مثل همیشه عالی بود,"[{'title': 'پيتزا مخلوط 26 سانتی متری'}, {'title': 'ماءالشعیر شیشه ای هی دی ساده'}, {'title': 'دبل برگر'}]"
49725186.0,خوب,"[{'title': 'پيتزا استيک آلفردو 26 سانتی متری'}, {'title': 'نوشابه قوطی اسپرایت'}]"
49904907.0,خوشحالم که کیفیت غذاتون برگشت به قبل و به طعم و طبخ دقت میکنید,"[{'title': 'پيتزا رست بيف 26 سانتی متری'}, {'title': 'سیب زمینی تنوری با سس آلفردو'}]"
48809234.0,عالی,"[{'title': 'پاستا چیکن آلفردو'}, {'title': 'سیب زمینی تنوری با پنیر دیپ گودا'}, {'title': 'ساندویچ هات داگ پنیری'}, {'title': 'سوپ قارچ (تک نفره)'}, {'title': 'نوشابه شیشه ای فانتا پرتقالی'}, {'title': 'نوشابه شیشه ای اسپرایت'}]"
49095961.0,تناسب حجم ، قیمت مناسب نبود‌‌,"[{'title': 'آلفردو برگر'}, {'title': 'ساندویچ رست بیف'}, {'title': 'ساندویچ بندری'}, {'title': 'نوشابه شیشه ای اسپرایت'}, {'title': 'نوشابه قوطی کوکاکولا'}]"
48642587.0,رفتار پیک  عالی-خیلیم زودتر ا ز تایمی که اعلام شده بود به دستم رسید .,"[{'title': 'پاستا چیکن آلفردو'}, {'title': 'سوپ قارچ (تک نفره)'}, {'title': 'پيتزا وجينارا 26 سانتی متری'}]"
49514531.0,کیفیت اونقدری خوب هست که نرم سراغ جاهای دیگه,"[{'title': 'پيتزا سير و استيک 26 سانتی متری'}, {'title': 'نوشابه قوطی کوکاکولا'}, {'title': 'نان سیر'}, {'title': 'سوپ قارچ (تک نفره)'}]"
48719652.0,خیلی خوشمزه بود,[{'title': 'پيتزا استيک آلفردو 26 سانتی متری'}]
48975400.0,سس کم بود که البته برای من خوب بود اما در کل خوشمزه و گرم به دستم رسید ممنون,[{'title': 'پاستا چیکن آلفردو'}]
49034804.0,خیلی خوب و خوشمزه بود.,[{'title': 'استرامبولی دونر استیک مرغ'}]
49111862.0,طعم برگر عالی,"[{'title': 'آلفردو برگر'}, {'title': 'پنیر گودا ورقه ای (اضافه)'}]"
