comment_id,comment_text,foods
12097634.0,عالی بود ,"[{'title': 'عناب درجه یک بیرجند 250 گرم'}, {'title': 'مخلوط آجیل شیرین ممتاز 500 گرم'}]"
47793178.0,خیلی خوب بود,"[{'title': 'تخمه محبوبی زرد ۵۰۰ گرم'}, {'title': 'تخمه محبوبی دو آتیشه ۲۵۰ گرم'}]"
47533695.0,بادام اصلا مزه نداشت.,"[{'title': 'پسته احمد آقایی درجه یک دستچین خام ۵۰۰ گرم'}, {'title': 'مغز بادام شور ۵۰۰ گرم'}, {'title': 'انجیر استهبان درجه یک اعلا ۵۰۰ گرم'}]"
18664513.0,کیفیت خوب ، ممنونم,[{'title': 'شاهدانه اعلا یک کیلوگرم'}]
28232083.0,مرتب و در بسته بندی تمیز و بموقع بدستم رسید.سپاس از مدیریت آی تک,"[{'title': 'مغز تخمه کدو ۲۵۰ گرم'}, {'title': 'مغز تخمه آفتابگردان ۵۰۰ گرم'}]"
10953034.0,کیفیت گردو برای فسنجان بسیار بالا بود ,[{'title': 'مغز گردو فسنجانی 500 گرم'}]
10337137.0,تازه بود ممنون,[{'title': 'گردو با پوست ایرانی یک کیلوگرم'}]
16894697.0,واقعا عالي هستين ، تك تك سفارش هام درجه يك و بسيار خوب بودن. ممنون ازتون,"[{'title': 'توت خشک فوق اعلا ۲۵۰ گرم'}, {'title': 'شاهدانه اعلا ۲۵۰ گرم'}, {'title': 'مغز پسته درجه یک ممتاز ۲۵۰ گرم'}, {'title': 'پسته اکبری ممتاز دستچین شور ۲۵۰ گرم'}, {'title': 'دانه سویا علا ۲۵۰ گرم'}, {'title': 'بادام هندی درجه یک اعلا شور ۲۵۰ گرم'}, {'title': 'هل فوق ممتاز ۱۰۰ گرم'}]"
17658677.0,ممنون از مجموعه فوق العاده و درجه يك تون، تمام سفارشاي من بسيار عالي و دستچين به دستم رسيد.,"[{'title': 'توت خشک فوق اعلا ۲۵۰ گرم'}, {'title': 'دانه سویا علا ۲۵۰ گرم'}, {'title': 'انجیر خشک پرک استهبان ۲۵۰ گرم'}, {'title': 'مغز بادام خام ۵۰۰ گرم'}, {'title': 'پسته اکبری ممتاز دستچین شور ۲۵۰ گرم'}, {'title': 'بادام هندی درجه یک اعلا شور ۲۵۰ گرم'}, {'title': 'مغز گردو درجه یک تویسرکان ۲۵۰ گرم'}, {'title': 'کشمش پلویی طلایی ۵۰۰ گرم'}]"
15720275.0,همه چي بسيار  عالي بود ممنون,"[{'title': 'انجیر خشک پرک استهبان ۲۵۰ گرم'}, {'title': 'شاهدانه اعلا ۲۵۰ گرم'}, {'title': 'مغز پسته درجه یک ممتاز ۲۵۰ گرم'}, {'title': 'توت خشک فوق اعلا ۲۵۰ گرم'}, {'title': 'مغز گردو درجه یک تویسرکان ۲۵۰ گرم'}, {'title': 'مغز بادام ایرانی خام ۲۵۰ گرم'}]"
