comment_id,vendor_id,comment_text,vendor_code,foods
45345056,55979,عدم توجه به توضیحات,0m1e1q,"{'product_title': 'بادمجان دلمه ای 1 کیلوگرم', 'product_description': '', 'product_id': 6014715}"
45345056,55979,عدم توجه به توضیحات,0m1e1q,"{'product_title': 'سیب زمینی نو 1 کیلوگرم', 'product_description': '', 'product_id': 5800273}"
45345056,55979,عدم توجه به توضیحات,0m1e1q,"{'product_title': 'آش رشته یک کیلوگرم ±50گرم', 'product_description': '(به صورت سرد ارسال می شود)', 'product_id': 7589276}"
47171666,55979,سالاد اتریشی به طرز عجیبی آبلیموی زیادی داشت و تلخ بود.,0m1e1q,"{'product_title': 'سالاد اتریشی 500 گرم', 'product_description': 'لوبیا پخته، جوانه ماش، پیازچه، قارچ، سیر تازه، آبلیمو تازه، نمک فلفل', 'product_id': 7550049}"
47171666,55979,سالاد اتریشی به طرز عجیبی آبلیموی زیادی داشت و تلخ بود.,0m1e1q,"{'product_title': 'سالاد پیازچه 500 گرم', 'product_description': '', 'product_id': 17990339}"
44921087,55979,اینبار تازه وخوشمزه بود در بامیکا همه محصولات خوشمزه هستن فقط باید خوش شانس باشی تازه باشه واین اصلا جالب نیست که گاهی غذای یکروز قبل سرو بشه بهتر محصولات کمتری آورده بشه که همون روز فروش بره,0m1e1q,"{'product_title': 'سینی لبو 500 گرم', 'product_description': 'لبو پخته شده و پوست کنده', 'product_id': 5898216}"
44921087,55979,اینبار تازه وخوشمزه بود در بامیکا همه محصولات خوشمزه هستن فقط باید خوش شانس باشی تازه باشه واین اصلا جالب نیست که گاهی غذای یکروز قبل سرو بشه بهتر محصولات کمتری آورده بشه که همون روز فروش بره,0m1e1q,"{'product_title': 'سالاد بروکلی 500 گرم', 'product_description': 'کلم بروکلی، هویج، ذرت، گوجه فرنگی، فلفل دلمه ای، خیارشور، نمک، سس مایونز', 'product_id': 5898220}"
45624927,55979,تاخیر خیلی زیاد,0m1e1q,"{'product_title': 'پیراشکی گوشت 1 کیلوگرم', 'product_description': '', 'product_id': 17990323}"
45624927,55979,تاخیر خیلی زیاد,0m1e1q,"{'product_title': 'پیراشکی مرغ 1 کیلوگرم', 'product_description': '', 'product_id': 17990324}"
45538645,55979,تمام سس دیپ خالی شده بود روی سبزیجات,0m1e1q,"{'product_title': 'زیتون گریل  500 گرم', 'product_description': 'زیتون بی هسته گریل شده در روغن زیتون', 'product_id': 7662874}"
45538645,55979,تمام سس دیپ خالی شده بود روی سبزیجات,0m1e1q,"{'product_title': 'سینی لبو 500 گرم', 'product_description': 'لبو پخته شده و پوست کنده', 'product_id': 5898216}"
45538645,55979,تمام سس دیپ خالی شده بود روی سبزیجات,0m1e1q,"{'product_title': 'حمص 400 گرم', 'product_description': 'با تزیین زیتون و روغن زیتون\r\nحاوی نخود آسیاب و آبلیمو و ارده وروغن زیتون \r\nتوجه : حمص از آماده شده و پک شده است رسپی آن تغییر نمیکند', 'product_id': 5898193}"
45538645,55979,تمام سس دیپ خالی شده بود روی سبزیجات,0m1e1q,"{'product_title': 'نان کریسپی یک بسته', 'product_description': '', 'product_id': 6737620}"
45538645,55979,تمام سس دیپ خالی شده بود روی سبزیجات,0m1e1q,"{'product_title': 'سالاد سیب زمینی آمریکایی 500 گرم', 'product_description': '', 'product_id': 17990517}"
45538645,55979,تمام سس دیپ خالی شده بود روی سبزیجات,0m1e1q,"{'product_title': 'دیپ سبزیجات ویژه بامیکا 1 کیلوگرم', 'product_description': 'خیار، کرفس، کدو، هویج، بروکلی، گوجه زیتونی، فلفل دلمه ای رنگی، زیتون و سس مخصوص دیپ سبزیجات', 'product_id': 7623291}"
46270652,55979,کیفیت بسیار بسیار پایین با قیمت ۴ برابری، متاسفم,0m1e1q,"{'product_title': 'انار دان شده 1 کیلوگرم', 'product_description': '', 'product_id': 11082632}"
47888261,55979,ممنون از شما,0m1e1q,"{'product_title': 'انار دان شده 500 گرم', 'product_description': '', 'product_id': 17990343}"
47992050,55979,کرفس خرد نشده انتخاب کردم کرفس خرد شده ارسال شد. تو توضیحات نوشتم اووکادو سفت و کال نباشد. متاسفانه بود,0m1e1q,"{'product_title': 'نان کریسپی یک بسته', 'product_description': '', 'product_id': 6737620}"
47992050,55979,کرفس خرد نشده انتخاب کردم کرفس خرد شده ارسال شد. تو توضیحات نوشتم اووکادو سفت و کال نباشد. متاسفانه بود,0m1e1q,"{'product_title': 'آووکادو متوسط یک عدد (متوسط)', 'product_description': '', 'product_id': 6545627}"
47992050,55979,کرفس خرد نشده انتخاب کردم کرفس خرد شده ارسال شد. تو توضیحات نوشتم اووکادو سفت و کال نباشد. متاسفانه بود,0m1e1q,"{'product_title': 'کرفس پاک شده بامیکا یک بسته', 'product_description': 'شسته شده و ضدعفونی شده', 'product_id': 6948416}"
46025524,55979,به نظر قیمت از حد معمول بالاتر است,0m1e1q,"{'product_title': 'ظرف میوه ویژه 1 کیلوگرم', 'product_description': 'شامل 6 قلم از میوه های توت فرنگی یا آناناس اسلایس، سیب، خیار، پرتقال، نارنگی، کیوی، انار، کامکوات، کاکتوس، \r\nتوجه داشته باشید.\r\nمیوه ها بسته به فصل تغییر میکنند', 'product_id': 7015301}"
46025524,55979,به نظر قیمت از حد معمول بالاتر است,0m1e1q,"{'product_title': 'شیرینی نسکافه کارامل هور 400 گرم', 'product_description': '', 'product_id': 23195902}"
44982624,55979,سالادها افتضاح بود! بقیه سفارش  بد نبود!,0m1e1q,"{'product_title': 'سمبوسه قارچ و پنیر 1 کیلوگرم', 'product_description': '', 'product_id': 17990327}"
44982624,55979,سالادها افتضاح بود! بقیه سفارش  بد نبود!,0m1e1q,"{'product_title': 'سالاد مرغ و ذرت  500 گرم', 'product_description': '', 'product_id': 17990334}"
44982624,55979,سالادها افتضاح بود! بقیه سفارش  بد نبود!,0m1e1q,"{'product_title': 'کشک بادمجان 500 گرم', 'product_description': 'تزیین با کشک، نعنا داغ و پیاز داغ، (سرو بدون نان و دورچین)', 'product_id': 5898194}"
44982624,55979,سالادها افتضاح بود! بقیه سفارش  بد نبود!,0m1e1q,"{'product_title': 'پافی الویه 1 کیلوگرم', 'product_description': '', 'product_id': 7549235}"
44982624,55979,سالادها افتضاح بود! بقیه سفارش  بد نبود!,0m1e1q,"{'product_title': 'دلمه برگ مو ملس 1 کیلوگرم', 'product_description': '', 'product_id': 17990330}"
44982624,55979,سالادها افتضاح بود! بقیه سفارش  بد نبود!,0m1e1q,"{'product_title': 'پیراشکی پنیر و پیازچه 1 کیلوگرم', 'product_description': '', 'product_id': 17990326}"
